Scenario	Year	Policy Goal	Target	Metric	Target_v	Metric_v	Country
REF-	2030	Compet	T_C_PRD	M_C_PRD	1	0.475776449	ITA
REF-	2030	Compet	T_C_TRP	M_C_TRP	1	0.956046224	ITA
REF-	2030	Envir	T_EV_CS	M_EV_CS	1	0.114757325	ITA
REF-	2030	Envir	T_EV_CW	M_EV_CW	1	0.327545424	ITA
REF-	2030	Envir	T_EV_BC	M_EV_BC	1	0.504946676	ITA
REF-	2030	Envir	T_EV_PNR	M_EV_PNR	1	-1	ITA
REF-	2040	Diet	T_D_FBIS	M_D_FBIS	1	0.000750242	CZE
REF-	2040	Diet	T_D_NBIS	M_D_NBIS	1	0	CZE
REF-	2040	Diet	T_D_ENBA	M_D_ENBA	1	-1	CZE
REF-	2040	Diet	T_D_DUM	M_D_DUM	1	-1	CZE
REF-	2040	Equity	T_E_FOF	M_E_FOF	1	-1	CZE
REF-	2040	Equity	T_E_CSO	M_E_CSO	1	-1	CZE
REF-	2040	Equity	T_E_CSC	M_E_CSC	1	-1	CZE
REF-	2040	Equity	T_E_PCA	M_E_PCA	1	-1	CZE
REF-	2040	Compet	T_C_VD	M_C_VD	1	0.065939856	CZE
REF-	2040	Compet	T_C_JW	M_C_JW	1	0.720893681	CZE
REF-	2040	Compet	T_C_PRD	M_C_PRD	1	0.354360789	CZE
REF-	2040	Compet	T_C_TRP	M_C_TRP	1	0.907099426	CZE
REF-	2040	Envir	T_EV_CS	M_EV_CS	1	-1	CZE
REF-	2040	Envir	T_EV_CS	M_EV_CW	1	-1	CZE
REF-	2040	Diet	T_D_FBIS	M_D_FBIS	1	0	DNK
REF-	2040	Diet	T_D_NBIS	M_D_NBIS	1	0	DNK
REF-	2040	Diet	T_D_ENBA	M_D_ENBA	1	-1	DNK
REF-	2040	Diet	T_D_DUM	M_D_DUM	1	-1	DNK
REF-	2040	Equity	T_E_FOF	M_E_FOF	1	-1	DNK
REF-	2040	Equity	T_E_CSO	M_E_CSO	1	-1	DNK
REF-	2040	Equity	T_E_CSC	M_E_CSC	1	-1	DNK
REF-	2040	Equity	T_E_PCA	M_E_PCA	1	-1	DNK
REF-	2040	Compet	T_C_VD	M_C_VD	1	0.043300235	DNK
REF-	2040	Compet	T_C_JW	M_C_JW	1	0.740082085	DNK
REF-	2040	Compet	T_C_PRD	M_C_PRD	1	0.185483933	DNK
REF-	2040	Compet	T_C_TRP	M_C_TRP	1	0.902240992	DNK
REF-	2040	Envir	T_EV_CS	M_EV_CS	1	-1	DNK
REF-	2040	Envir	T_EV_CS	M_EV_CW	1	-1	DNK
REF-	2040	Diet	T_D_FBIS	M_D_FBIS	1	0	EU28
REF-	2040	Diet	T_D_NBIS	M_D_NBIS	1	0	EU28
REF-	2040	Diet	T_D_ENBA	M_D_ENBA	1	-1	EU28
REF-	2040	Diet	T_D_DUM	M_D_DUM	1	-1	EU28
REF-	2040	Equity	T_E_FOF	M_E_FOF	1	-1	EU28
REF-	2040	Equity	T_E_CSO	M_E_CSO	1	-1	EU28
REF-	2040	Equity	T_E_CSC	M_E_CSC	1	-1	EU28
REF-	2040	Equity	T_E_PCA	M_E_PCA	1	-1	EU28
REF-	2040	Compet	T_C_VD	M_C_VD	1	0.060774457	EU28
REF-	2040	Compet	T_C_JW	M_C_JW	1	0.738223613	EU28
REF-	2040	Compet	T_C_PRD	M_C_PRD	1	0.265506208	EU28
REF-	2040	Compet	T_C_TRP	M_C_TRP	1	0.914408386	EU28
REF-	2040	Envir	T_EV_CS	M_EV_CS	1	-1	EU28
REF-	2040	Envir	T_EV_CS	M_EV_CW	1	-1	EU28
REF-	2040	Diet	T_D_FBIS	M_D_FBIS	1	0	FRA
REF-	2040	Diet	T_D_NBIS	M_D_NBIS	1	0	FRA
REF-	2040	Diet	T_D_ENBA	M_D_ENBA	1	-1	FRA
REF-	2040	Diet	T_D_DUM	M_D_DUM	1	-1	FRA
REF-	2040	Equity	T_E_FOF	M_E_FOF	1	-1	FRA
REF-	2040	Equity	T_E_CSO	M_E_CSO	1	-1	FRA
REF-	2040	Equity	T_E_CSC	M_E_CSC	1	-1	FRA
REF-	2040	Equity	T_E_PCA	M_E_PCA	1	-1	FRA
REF-	2040	Compet	T_C_VD	M_C_VD	1	0.050450313	FRA
REF-	2040	Compet	T_C_JW	M_C_JW	1	0.727192432	FRA
REF-	2040	Compet	T_C_PRD	M_C_PRD	1	0.235477507	FRA
REF-	2040	Compet	T_C_TRP	M_C_TRP	1	0.903960228	FRA
REF-	2040	Envir	T_EV_CS	M_EV_CS	1	-1	FRA
REF-	2040	Envir	T_EV_CS	M_EV_CW	1	-1	FRA
REF-	2040	Diet	T_D_FBIS	M_D_FBIS	1	0	ITA
REF-	2040	Diet	T_D_NBIS	M_D_NBIS	1	-1	ITA
REF-	2040	Diet	T_D_ENBA	M_D_ENBA	1	-1	ITA
REF-	2040	Diet	T_D_DUM	M_D_DUM	1	-1	ITA
REF-	2040	Equity	T_E_FOF	M_E_FOF	1	-1	ITA
REF-	2040	Equity	T_E_CSO	M_E_CSO	1	-1	ITA
REF-	2040	Equity	T_E_CSC	M_E_CSC	1	-1	ITA
REF-	2040	Equity	T_E_PCA	M_E_PCA	1	-1	ITA
REF-	2040	Compet	T_C_VD	M_C_VD	1	0.073469293	ITA
REF-	2040	Compet	T_C_JW	M_C_JW	1	0.75048855	ITA
REF-	2040	Compet	T_C_PRD	M_C_PRD	1	0.343133405	ITA
REF-	2040	Compet	T_C_TRP	M_C_TRP	1	0.943534672	ITA
REF-	2040	Envir	T_EV_CS	M_EV_CS	1	-1	ITA
REF-	2040	Envir	T_EV_CS	M_EV_CW	1	-1	ITA
REF-	2050	Diet	T_D_FBIS	M_D_FBIS	1	0.002199554	CZE
REF-	2050	Diet	T_D_NBIS	M_D_NBIS	1	0	CZE
REF-	2050	Diet	T_D_ENBA	M_D_ENBA	1	-1	CZE
REF-	2050	Diet	T_D_DUM	M_D_DUM	1	-1	CZE
REF-	2050	Equity	T_E_FOF	M_E_FOF	1	-1	CZE
REF-	2050	Equity	T_E_CSO	M_E_CSO	1	-1	CZE
REF-	2050	Equity	T_E_CSC	M_E_CSC	1	-1	CZE
REF-	2050	Equity	T_E_PCA	M_E_PCA	1	-1	CZE
REF-	2050	Compet	T_C_VD	M_C_VD	1	0.03459537	CZE
REF-	2050	Compet	T_C_JW	M_C_JW	1	0.737884552	CZE
REF-	2050	Compet	T_C_PRD	M_C_PRD	1	0.299130336	CZE
REF-	2050	Compet	T_C_TRP	M_C_TRP	1	0.872725248	CZE
REF-	2050	Envir	T_EV_CS	M_EV_CS	1	0.378216924	CZE
REF-	2050	Envir	T_EV_CW	M_EV_CW	1	0.40705782	CZE
REF-	2050	Envir	T_EV_BC	M_EV_BC	1	0.510500201	CZE
REF-	2050	Envir	T_EV_PNR	M_EV_PNR	1	-1	CZE
REF-	2050	Diet	T_D_FBIS	M_D_FBIS	1	0	DNK
REF-	2050	Diet	T_D_NBIS	M_D_NBIS	1	0	DNK
REF-	2050	Diet	T_D_ENBA	M_D_ENBA	1	-1	DNK
REF-	2050	Diet	T_D_DUM	M_D_DUM	1	-1	DNK
