Scenario,Year,Policy Goal,Target,Metric,Target_v,Metric_v,Country
Business-as-usual outlook,2040,Compet,T_C_EPP,M_C_EPP,1,0.298661878,DNK
Business-as-usual outlook,2040,Compet,T_C_OST,M_C_OST,1,0.858500093,DNK
Business-as-usual outlook,2040,Compet,T_C_RPT,M_C_RPT,1,0.141835958,DNK
Business-as-usual outlook,2040,Compet,T_C_DUM,M_C_DUM,1,0.903768659,DNK
Business-as-usual outlook,2040,Envir,T_EV_CS,M_EV_CS,1,-1,DNK
Business-as-usual outlook,2040,Envir,T_EV_CW,M_EV_CW,1,-1,DNK
Business-as-usual outlook,2040,Envir,T_EV_BC,M_EV_BC,1,-1,DNK
Business-as-usual outlook,2040,Envir,T_EV_PNR,M_EV_PNR,1,-1,DNK
Business-as-usual outlook,2040,Diets,T_D_FBIS,M_D_FBIS,1,1.530794279,FRA
Business-as-usual outlook,2040,Diets,T_D_NBIS,M_D_NBIS,1,1.192449074,FRA
Business-as-usual outlook,2040,Diets,T_D_ENBA,M_D_ENBA,1,-1,FRA
Business-as-usual outlook,2040,Diets,T_D_DUM,M_D_DUM,1,-1,FRA
Business-as-usual outlook,2040,Equity,T_E_FOF,M_E_FOF,1,-1,FRA
Business-as-usual outlook,2040,Equity,T_E_CSO,M_E_CSO,1,-1,FRA
Business-as-usual outlook,2040,Equity,T_E_CSC,M_E_CSC,1,-1,FRA
Business-as-usual outlook,2040,Equity,T_E_PCA,M_E_PCA,1,-1,FRA
Business-as-usual outlook,2040,Compet,T_C_EPP,M_C_EPP,1,0.294624627,FRA
Business-as-usual outlook,2040,Compet,T_C_OST,M_C_OST,1,0.783046425,FRA
Business-as-usual outlook,2040,Compet,T_C_RPT,M_C_RPT,1,0.213234261,FRA
Business-as-usual outlook,2040,Compet,T_C_DUM,M_C_DUM,1,0.904926777,FRA
Business-as-usual outlook,2040,Envir,T_EV_CS,M_EV_CS,1,-1,FRA
Business-as-usual outlook,2040,Envir,T_EV_CW,M_EV_CW,1,-1,FRA
Business-as-usual outlook,2040,Envir,T_EV_BC,M_EV_BC,1,-1,FRA
Business-as-usual outlook,2040,Envir,T_EV_PNR,M_EV_PNR,1,-1,FRA
Business-as-usual outlook,2040,Diets,T_D_FBIS,M_D_FBIS,1,1.597540633,ITA
Business-as-usual outlook,2040,Diets,T_D_NBIS,M_D_NBIS,1,1.207151527,ITA
Business-as-usual outlook,2040,Diets,T_D_ENBA,M_D_ENBA,1,-1,ITA
Business-as-usual outlook,2040,Diets,T_D_DUM,M_D_DUM,1,-1,ITA
Business-as-usual outlook,2040,Equity,T_E_FOF,M_E_FOF,1,-1,ITA
Business-as-usual outlook,2040,Equity,T_E_CSO,M_E_CSO,1,-1,ITA
Business-as-usual outlook,2040,Equity,T_E_CSC,M_E_CSC,1,-1,ITA
Business-as-usual outlook,2040,Equity,T_E_PCA,M_E_PCA,1,-1,ITA
Business-as-usual outlook,2040,Compet,T_C_EPP,M_C_EPP,1,0.340136677,ITA
Business-as-usual outlook,2040,Compet,T_C_OST,M_C_OST,1,0.83071217,ITA
Business-as-usual outlook,2040,Compet,T_C_RPT,M_C_RPT,1,0.36159581,ITA
Business-as-usual outlook,2040,Compet,T_C_DUM,M_C_DUM,1,0.945120513,ITA
Business-as-usual outlook,2040,Envir,T_EV_CS,M_EV_CS,1,-1,ITA
Business-as-usual outlook,2040,Envir,T_EV_CW,M_EV_CW,1,-1,ITA
Business-as-usual outlook,2040,Envir,T_EV_BC,M_EV_BC,1,-1,ITA
Business-as-usual outlook,2040,Envir,T_EV_PNR,M_EV_PNR,1,-1,ITA
Business-as-usual outlook,2050,Diets,T_D_FBIS,M_D_FBIS,1,1.119926433,CZE
Business-as-usual outlook,2050,Diets,T_D_NBIS,M_D_NBIS,1,1.075305481,CZE
